País,Año,Población_Total_Millones,Pct_0_14,Pct_15_24,Pct_25_54,Pct_55_64,Pct_65_más,Pob_0_14_Miles,Pob_15_24_Miles,Pob_25_54_Miles,Pob_55_64_Miles,Pob_65_más_Miles,Fuente,ISO3,Región,Pct_Edad_Laboral,Pct_Joven_Total,Pob_Edad_Laboral_Miles,Pob_Dependiente_Miles,Indice_Envejecimiento,Razon_Dependencia_Total,Razon_Dependencia_Infantil,Razon_Dependencia_Mayores,Indice_Bono_Demografico,Cambio_Envejecimiento_vs_2000,Suma_Pct_Grupos,Pct_Grupos_Validos
México,2000,99.9,31.0,20.0,36.0,8.5,4.5,30969,19980,35964,8492,4496,CEPALSTAT,MEX,Norteamérica,64.5,51.0,64436,35465,14.52,55.04,48.06,6.98,1.8169,0.0,100.0,True
México,2010,114.3,27.0,18.0,39.0,9.5,6.5,30861,20574,44577,10859,7430,CEPALSTAT,MEX,Norteamérica,66.5,45.0,76010,38291,24.08,50.38,40.6,9.78,1.9851,9.56,100.0,True
México,2020,126.7,24.0,17.0,41.0,10.0,8.5,30408,21539,51947,12670,10770,CEPALSTAT,MEX,Norteamérica,68.0,41.0,86156,41178,35.42,47.79,35.29,12.5,2.0923,20.9,100.5,True
México,2023,129.0,22.0,16.0,42.0,11.0,9.0,28380,20640,54180,14190,11610,CEPALSTAT,MEX,Norteamérica,69.0,38.0,89010,39990,40.91,44.93,31.88,13.04,2.2258,26.39,100.0,True
Paraguay,2000,5.4,37.0,22.0,30.0,6.5,4.5,1998,1188,1620,351,243,CEPALSTAT,PRY,Cono Sur,58.5,59.0,3159,2241,12.16,70.94,63.25,7.69,1.4096,0.0,100.0,True
Paraguay,2010,6.5,32.0,20.0,36.0,5.0,7.0,2080,1300,2340,325,455,CEPALSTAT,PRY,Cono Sur,61.0,52.0,3965,2535,21.88,63.93,52.46,11.48,1.5641,9.72,100.0,True
Paraguay,2020,7.1,28.0,19.0,38.0,6.5,8.5,1988,1349,2698,462,604,CEPALSTAT,PRY,Cono Sur,63.5,47.0,4509,2592,30.38,57.49,44.09,13.4,1.7396,18.22,100.0,True
Paraguay,2023,7.5,26.0,18.0,39.0,8.0,9.0,1950,1350,2925,600,675,CEPALSTAT,PRY,Cono Sur,65.0,44.0,4875,2625,34.62,53.85,40.0,13.85,1.8571,22.46,100.0,True
Perú,2000,25.6,33.0,20.0,35.0,7.5,4.5,8448,5120,8960,1920,1152,CEPALSTAT,PER,Andina,62.5,53.0,16000,9600,13.64,60.0,52.8,7.2,1.6667,0.0,100.0,True
Perú,2010,29.1,28.0,19.0,39.0,7.0,7.0,8148,5529,11349,2037,2037,CEPALSTAT,PER,Andina,65.0,47.0,18915,10185,25.0,53.85,43.08,10.77,1.8571,11.36,100.0,True
Perú,2020,32.9,25.0,17.0,41.0,8.0,9.0,8225,5593,13489,2632,2961,CEPALSTAT,PER,Andina,66.0,42.0,21714,11186,36.0,51.52,37.88,13.64,1.9412,22.36,100.0,True
Perú,2023,34.0,23.0,16.0,42.0,9.5,9.5,7820,5440,14280,3230,3230,CEPALSTAT,PER,Andina,67.5,39.0,22950,11050,41.3,48.15,34.07,14.07,2.0769,27.66,100.0,True
Uruguay,2000,3.3,23.0,16.0,37.0,15.5,8.5,759,528,1221,512,281,CEPALSTAT,URY,Cono Sur,68.5,39.0,2261,1040,37.02,46.0,33.57,12.43,2.174,0.0,100.0,True
Uruguay,2010,3.4,20.0,15.0,38.0,16.0,11.0,680,510,1292,544,374,CEPALSTAT,URY,Cono Sur,69.0,35.0,2346,1054,55.0,44.93,28.99,15.94,2.2258,17.98,100.0,True
Uruguay,2020,3.5,18.0,14.0,38.0,17.5,12.5,630,490,1330,613,438,CEPALSTAT,URY,Cono Sur,69.5,32.0,2433,1068,69.52,43.9,25.89,18.0,2.2781,32.5,100.0,True
Uruguay,2023,3.5,17.0,13.0,38.0,18.5,13.5,595,455,1330,648,473,CEPALSTAT,URY,Cono Sur,69.5,30.0,2433,1068,79.5,43.9,24.46,19.44,2.2781,42.48,100.0,True
Venezuela,2000,24.3,32.0,20.0,36.0,7.5,4.5,7776,4860,8748,1823,1094,CEPALSTAT,VEN,Andina,63.5,52.0,15431,8870,14.07,57.48,50.39,7.09,1.7397,0.0,100.0,True
Venezuela,2010,28.8,27.0,19.0,39.0,8.5,6.5,7776,5472,11232,2448,1872,CEPALSTAT,VEN,Andina,66.5,46.0,19152,9648,24.07,50.38,40.6,9.77,1.9851,10.0,100.0,True
Venezuela,2020,28.4,24.0,17.0,41.0,10.0,8.0,6816,4828,11644,2840,2272,CEPALSTAT,VEN,Andina,68.0,41.0,19312,9088,33.33,47.06,35.29,11.76,2.125,19.26,100.0,True
Venezuela,2023,28.8,22.0,16.0,42.0,11.5,8.5,6336,4608,12096,3312,2448,CEPALSTAT,VEN,Andina,69.5,38.0,20016,8784,38.64,43.88,31.65,12.23,2.2787,24.57,100.0,True
